index,지역명,연도,월,평당분양가격,전용면적
0,서울,2016,1,21209.1,60㎡
1,서울,2016,1,19918.8,60㎡~85㎡
2,서울,2016,1,21492.899999999998,85㎡~102㎡
3,서울,2016,1,21618.3,102㎡~
4,서울,2016,2,21245.399999999998,60㎡
5,서울,2016,2,19928.7,60㎡~85㎡
6,서울,2016,2,21492.899999999998,85㎡~102㎡
7,서울,2016,2,21311.399999999998,102㎡~
8,서울,2016,3,21615.0,60㎡
9,서울,2016,3,20219.1,60㎡~85㎡
10,서울,2016,3,23690.699999999997,85㎡~102㎡
11,서울,2016,3,21024.3,102㎡~
12,서울,2016,4,21839.399999999998,60㎡
13,서울,2016,4,20446.8,60㎡~85㎡
14,서울,2016,4,26716.8,85㎡~102㎡
15,서울,2016,4,20964.899999999998,102㎡~
16,서울,2016,5,21905.399999999998,60㎡
17,서울,2016,5,20476.5,60㎡~85㎡
18,서울,2016,5,25492.5,85㎡~102㎡
19,서울,2016,5,20964.899999999998,102㎡~
20,서울,2016,6,21654.6,60㎡
21,서울,2016,6,20519.399999999998,60㎡~85㎡
22,서울,2016,6,25515.6,85㎡~102㎡
23,서울,2016,6,21004.5,102㎡~
24,서울,2016,7,21816.3,60㎡
25,서울,2016,7,21116.699999999997,60㎡~85㎡
26,서울,2016,7,25515.6,85㎡~102㎡
27,서울,2016,7,21030.899999999998,102㎡~
28,서울,2016,8,21753.6,60㎡
29,서울,2016,8,21199.199999999997,60㎡~85㎡
30,서울,2016,8,23991.0,85㎡~102㎡
31,서울,2016,8,21789.899999999998,102㎡~
32,서울,2016,9,21664.5,60㎡
33,서울,2016,9,21159.6,60㎡~85㎡
34,서울,2016,9,24469.5,85㎡~102㎡
35,서울,2016,9,21684.3,102㎡~
36,서울,2016,10,21981.3,60㎡
37,서울,2016,10,21572.1,60㎡~85㎡
38,서울,2016,10,24420.0,85㎡~102㎡
39,서울,2016,10,23895.3,102㎡~
40,서울,2016,11,22093.5,60㎡
41,서울,2016,11,21476.399999999998,60㎡~85㎡
42,서울,2016,11,22271.699999999997,85㎡~102㎡
43,서울,2016,11,20955.0,102㎡~
44,서울,2016,12,22152.899999999998,60㎡
45,서울,2016,12,21423.6,60㎡~85㎡
46,서울,2016,12,23199.0,85㎡~102㎡
47,서울,2016,12,22344.3,102㎡~
48,서울,2017,1,21984.6,60㎡
49,서울,2017,1,21450.0,60㎡~85㎡
50,서울,2017,1,23199.0,85㎡~102㎡
51,서울,2017,1,22344.3,102㎡~
52,서울,2017,2,22004.399999999998,60㎡
53,서울,2017,2,21522.6,60㎡~85㎡
54,서울,2017,2,21961.5,85㎡~102㎡
55,서울,2017,2,22746.899999999998,102㎡~
56,서울,2017,3,21681.0,60㎡
57,서울,2017,3,21186.0,60㎡~85㎡
58,서울,2017,3,21308.1,85㎡~102㎡
59,서울,2017,3,22139.699999999997,102㎡~
60,서울,2017,4,21681.0,60㎡
61,서울,2017,4,21166.199999999997,60㎡~85㎡
62,서울,2017,4,21308.1,85㎡~102㎡
63,서울,2017,4,22149.6,102㎡~
64,서울,2017,5,21753.6,60㎡
65,서울,2017,5,21321.3,60㎡~85㎡
66,서울,2017,5,21146.399999999998,85㎡~102㎡
67,서울,2017,5,22027.5,102㎡~
68,서울,2017,6,21318.0,60㎡
69,서울,2017,6,21235.5,60㎡~85㎡
70,서울,2017,6,23515.8,85㎡~102㎡
71,서울,2017,6,22931.699999999997,102㎡~
72,서울,2017,7,21483.0,60㎡
73,서울,2017,7,20928.6,60㎡~85㎡
74,서울,2017,7,23515.8,85㎡~102㎡
75,서울,2017,7,22222.199999999997,102㎡~
76,서울,2017,8,21024.3,60㎡
77,서울,2017,8,19628.399999999998,60㎡~85㎡
78,서울,2017,8,23321.1,85㎡~102㎡
